타임스탬프,귀하의 성별은 무엇입니까?,귀하의 연령대는 어떻게 되십니까?,저희 백화점을 얼마나 자주 방문하십니까?,주요 방문 목적은 무엇입니까? (복수 선택 가능),저희 백화점의 다음 항목들에 대해 얼마나 만족하십니까? [매장 직원 친절도],저희 백화점의 다음 항목들에 대해 얼마나 만족하십니까? [상품 구색 및 다양성],저희 백화점의 다음 항목들에 대해 얼마나 만족하십니까? [매장 청결 및 분위기],"저희 백화점의 다음 항목들에 대해 얼마나 만족하십니까? [편의 시설 (휴게 공간, 화장실 등)]",저희 백화점의 다음 항목들에 대해 얼마나 만족하십니까? [주차 시설 및 접근성],가장 만족하는 서비스 또는 시설이 있다면 무엇입니까?,개선이 필요하다고 생각되는 서비스 또는 시설이 있다면 무엇입니까?,전반적인 백화점 이용 경험에 대해 별점을 매겨주십시오.
2025.1.15 09:23,여성,30대,월 1~2회,의류/패션 쇼핑,매우 만족,만족,매우 만족,만족,보통,직원 친절도,주차 공간 확대,5
2025.1.15 10:05,남성,40대,월 1~2회,식품/식료품 구매,만족,만족,만족,보통,불만족,식품관 품질,주차 시설,4
2025.1.15 11:30,여성,20대,주 1회 이상,"의류/패션 쇼핑, 화장품/뷰티",매우 만족,매우 만족,매우 만족,매우 만족,만족,화장품 매장,없음,5
2025.1.15 13:15,남성,50대,월 1~2회,가전/전자제품,보통,만족,만족,만족,보통,상품 다양성,휴게 공간,4
2025.1.15 14:42,여성,60대 이상,월 1회 미만,식품/식료품 구매,만족,보통,만족,보통,불만족,매장 청결도,엘리베이터 대기 시간,3
2025.1.16 09:55,여성,30대,주 1회 이상,"의류/패션 쇼핑, 문화센터/강좌",매우 만족,만족,매우 만족,만족,만족,문화센터 프로그램,없음,5
2025.1.16 10:28,남성,30대,월 1~2회,식당/카페 이용,만족,보통,만족,만족,보통,레스토랑 품질,주차비,4
2025.1.16 12:10,여성,40대,월 1~2회,"의류/패션 쇼핑, 식품/식료품 구매",만족,매우 만족,만족,보통,만족,브랜드 다양성,휴게 공간 부족,4
2025.1.16 14:33,남성,20대,월 1회 미만,가전/전자제품,보통,만족,보통,보통,보통,전자제품 매장,가격 경쟁력,3
2025.1.16 16:05,여성,50대,월 1~2회,"식품/식료품 구매, 식당/카페 이용",매우 만족,만족,매우 만족,만족,만족,식품관,없음,5
2025.1.17 09:12,남성,40대,월 1회 미만,의류/패션 쇼핑,만족,보통,만족,보통,불만족,직원 서비스,주차장 접근성,3
2025.1.17 10:45,여성,20대,주 1회 이상,"화장품/뷰티, 식당/카페 이용",매우 만족,매우 만족,만족,매우 만족,만족,뷰티 매장,없음,5
2025.1.17 13:22,남성,60대 이상,월 1회 미만,식품/식료품 구매,보통,만족,보통,불만족,불만족,상품 품질,휴게 의자 추가,2
2025.1.17 15:08,여성,30대,월 1~2회,"의류/패션 쇼핑, 화장품/뷰티",만족,만족,매우 만족,만족,보통,매장 분위기,주차 요금,4
2025.1.18 10:30,남성,30대,월 1~2회,"가전/전자제품, 식당/카페 이용",만족,만족,만족,만족,만족,카페,없음,4
2025.1.18 11:55,여성,40대,주 1회 이상,의류/패션 쇼핑,매우 만족,매우 만족,매우 만족,만족,만족,VIP 라운지,없음,5
2025.1.18 14:18,남성,50대,월 1회 미만,식품/식료품 구매,보통,보통,만족,보통,보통,식품 신선도,안내 표지판,3
2025.1.18 16:40,여성,20대,월 1~2회,"화장품/뷰티, 의류/패션 쇼핑",만족,매우 만족,만족,만족,만족,세일 행사,없음,4
2025.1.19 10:05,남성,40대,월 1~2회,"식당/카페 이용, 식품/식료품 구매",만족,만족,만족,만족,보통,레스토랑 다양성,주차 공간,4
2025.1.19 13:28,여성,60대 이상,월 1회 미만,의류/패션 쇼핑,만족,보통,만족,보통,보통,직원 안내,엘리베이터 증설,3